t1,t2,t3,t4,CF12_34,CF12_34_lo,CF12_34_hi,CF13_24,CF13_24_lo,CF13_24_hi,CF14_23,CF14_23_lo,CF14_23_hi,ngenes
new,herculeanus,modoc_east,modoc_west,0.605168302474754,0.562229904926534,0.643042211961493,0.162745286215043,0.130509939498704,0.197925669835782,0.232086411310204,0.216292134831461,0.250864304235091,4628
new,herculeanus,modoc_east,pennsylvanicus,0.0419799694832163,0.0321953327571305,0.0520743414162363,0.048763592993072,0.0391097666378565,0.0583405484746215,0.909256437523712,0.892178046672429,0.925885911840968,4628
new,herculeanus,modoc_east,novaeboracensis,0.103212181051794,0.0732497839239412,0.136344022546245,0.453171904852587,0.423725151253241,0.488115816767502,0.443615914095619,0.422644770959378,0.473422644770959,4628
new,herculeanus,laevissimus,modoc_east,0.020365707073565,0.0177182368193604,0.0231201382886776,0.945920299222287,0.941011235955056,0.95051837715679,0.0337139937041474,0.0298184896675692,0.0380293863439931,4628
new,herculeanus,laevissimus,chromaiodes,0.526262005019622,0.516205704407952,0.535868625756266,0.189887014117004,0.181503889369058,0.198357821953328,0.283850980863375,0.275280898876405,0.292350907519447,4628
new,herculeanus,laevissimus,modoc_west,0.0265123483458419,0.0220397532325512,0.0304667308700801,0.953552447778197,0.948357821953328,0.959377700950735,0.0199352038759614,0.016637856525497,0.0233362143474503,4628
new,herculeanus,laevissimus,pennsylvanicus,0.39853825089492,0.389152981849611,0.407519534900505,0.422395727995968,0.413137424373379,0.432368193604149,0.179066021109112,0.171780466724287,0.186257562662057,4628
new,herculeanus,laevissimus,novaeboracensis,0.0329597603277327,0.0278738115816768,0.038893698983081,0.945778504025762,0.938202247191011,0.951382886776145,0.0212617356465054,0.0175021569787906,0.024632676022618,4628
new,herculeanus,chromaiodes,modoc_west,0.0319992941301892,0.0276577355229041,0.0356525574011576,0.939884865833592,0.934312878133103,0.945548833189283,0.0281158400362192,0.0250648228176318,0.0319792566983578,4628
new,herculeanus,chromaiodes,pennsylvanicus,0.685156759389083,0.678694753955325,0.691443238668272,0.274906904354001,0.268798617113224,0.281331089310953,0.039936336256916,0.0365168460421681,0.0429991449868507,4628
new,herculeanus,chromaiodes,novaeboracensis,0.0519143712154391,0.0464563526361279,0.0581244598098531,0.923846014031301,0.916594443259628,0.92999155790656,0.0242396147532594,0.021175458335233,0.0272255892881567,4628
